Shiffrin Mikaela
Gut-Behrami Lara
Brignone Federica
Vlhova Petra
Goggia Sofia
Hector Sara
Gisin Michelle
Huetter Cornelia
Grenier Valerie
Venier Stephanie
Duerr Lena
Mowinckel Ragnhild
Puchner Mirjam
Bassino Marta
Ljutic Zrinka
Robinson Alice
Lie Kajsa Vickhoff
Liensberger Katharina
Flury Jasmine
Moltzan Paula
Rast Camille
Gritsch Franziska
Haehlen Joana
Stjernesund Thea Louise
Gauche Laura
Huber Katharina
Meillard Melanie
Pirovano Laura
Swenn-Larsson Anna
Weidle Kira
Raedler Ariane
Hurt A.J.
Holtmann Mina Fuerst
Truppe Katharina
Popovic Leona
Nullmeyer Ali
Suter Corinne
Ager Christina
Gallhuber Katharina
Nufer Priska
Holdener Wendy
Wiles Jacqueline
Miradoli Romane
Colturi Lara
Bucik Ana
Direz Clara
Stuhec Ilka
Delago Nicol
Aicher Emma
Melesi Roberta
Brunner Stephanie
Germane Dzenifera
Slokar Andreja
Scheib Julia
Gasienica Daniel Maryna
Dvornik Neja
Pogneaux Chiara
Macuga Lauren
Durrer Delia
Peterlini Martina
Ledecká Ester
Dubovska Martina
Lysdahl Kristin
St.Germain Laurence
Good Nicole
Lamure Marie
Scheyer Christine
Suter Jasmina
Smart Amelia
Wright Isabella
Rossetti Marta
Richardson Britt
Luczak Magdalena
Wild Simone
Haaser Ricarda
Delago Nadia
Della Mea Lara
Platino Elisa
Kappaurer Elisabeth
Alphand Estelle
Oehlund Cornelia
Stoffel Elena
Sporer Marie-Therese
Westhoff Bianca
Jenal Stephanie
Aronsson Elfman Hanna
Maarstoel Andrine
Heider Michaela
Muzaferija Elvedina
Tviberg Maria Therese
Runggaldier Teresa
Cerutti Camille
Nyberg Lisa
Chevrier Marion
Zenere Asja
Breche Clarisse
Wechner Lena
Niederwieser Michelle
Cashman Keely
Bernardi Vicky
